   1819734
                    5.372491e+00   -3.046238e+00    9.448630e-02
                    5.782562e+00   -1.028011e+00   -5.291233e-02
                    6.808683e+00   -6.670733e-01   -1.812247e+00
                    6.942853e+00   -4.478651e-01    1.557134e+00
                    3.376940e+00    2.947973e-01   -4.157397e-02
                    2.940414e+00    2.861045e+00   -1.492884e-01
                    4.501327e+00    4.187633e+00   -2.551130e-01
                    5.499103e-01    3.486544e+00   -1.114938e-01
                   -6.784116e-01    1.179189e+00    3.023562e-02
                   -3.255998e+00    5.026671e-01    1.247219e-01
                   -5.115488e+00    2.256333e+00    1.322808e-01
                   -6.918287e+00    1.662959e+00    7.558904e-03
                   -4.680851e+00    4.085588e+00   -1.530678e-01
                   -3.877718e+00   -1.952087e+00    2.362157e-01
                   -1.999330e+00   -3.662289e+00    2.664514e-01
                   -2.613491e+00   -5.627604e+00    3.609377e-01
                    4.856596e-01   -3.290013e+00    1.946418e-01
                    1.029901e+00   -8.163616e-01    7.369931e-02
    8.379563e-03    5.799425e+00   -4.639576e+00   -2.618073e+00
    1.090782e-02    6.197263e+00   -4.474785e+00   -2.618073e+00
    1.322462e-02    6.538895e+00   -4.212642e+00   -2.618073e+00
    8.478694e-04    4.183949e+00   -3.478832e+00   -2.817421e+00
    3.868967e-04    4.403583e+00   -3.859249e+00   -2.817421e+00
    2.136994e-03    4.740081e+00   -4.141605e+00   -2.817421e+00
    4.925776e-03    5.152858e+00   -4.291843e+00   -2.817421e+00
    7.872655e-03    5.592125e+00   -4.291843e+00   -2.817421e+00
    1.063627e-02    6.004901e+00   -4.141605e+00   -2.817421e+00
    1.334766e-02    6.341400e+00   -3.859249e+00   -2.817421e+00
    4.756986e-03    4.630711e+00   -3.474506e+00   -2.962526e+00
    5.347096e-03    4.944224e+00   -3.788019e+00   -2.962526e+00
    7.727268e-03    5.372491e+00   -3.902773e+00   -2.962526e+00
    1.068246e-02    5.800759e+00   -3.788019e+00   -2.962526e+00
    1.006677e-02    4.591855e+00   -5.946290e-01    3.707778e+00
    8.939794e-03    4.515438e+00   -1.028011e+00    3.707778e+00
    8.570148e-03    4.591855e+00   -1.461393e+00    3.707778e+00
    8.737375e-03    4.811889e+00   -1.842503e+00    3.707778e+00
    9.611375e-03    5.149000e+00   -2.125373e+00    3.707778e+00
    6.333185e-03    4.173041e+00   -1.459281e+00    3.548732e+00
    6.290355e-03    4.339505e+00   -1.861160e+00    3.548732e+00
    6.603320e-03    4.604311e+00   -2.206262e+00    3.548732e+00
    7.552866e-03    4.949413e+00   -2.471068e+00    3.548732e+00
    9.112516e-03    5.351292e+00   -2.637532e+00    3.548732e+00
    1.112436e-02    5.782562e+00   -2.694309e+00    3.548732e+00
    4.344565e-03    3.913506e+00   -1.860168e+00    3.347461e+00
    4.127449e-03    4.127364e+00   -2.230583e+00    3.347461e+00
    4.531919e-03    4.413563e+00   -2.548438e+00    3.347461e+00
    5.722679e-03    4.759594e+00   -2.799844e+00    3.347461e+00
    7.467423e-03    5.150333e+00   -2.973813e+00    3.347461e+00
    9.432782e-03    5.568703e+00   -3.062740e+00    3.347461e+00
    1.145618e-02    5.996421e+00   -3.062740e+00    3.347461e+00
    1.697839e-03    3.839636e+00   -2.439629e+00    3.106323e+00
    1.909728e-03    4.122914e+00   -2.763867e+00    3.106323e+00
    1.375197e-02    6.524694e+00   -3.312057e+00    3.106323e+00
   -1.253791e-03    3.574687e+00   -2.632126e+00    2.828146e+00
    1.595514e-02    7.021540e+00   -3.459642e+00    2.828146e+00
    1.766905e-02    7.417775e+00   -3.572452e+00    2.516192e+00
    1.914778e-02    7.782113e+00   -3.633876e+00    2.174116e+00
    2.033447e-02    8.105140e+00   -3.350589e+00    2.174116e+00
    2.036597e-02    8.107570e+00   -3.652403e+00    1.805931e+00
    2.133338e-02    8.406954e+00   -3.353019e+00    1.805931e+00
    2.119092e-02    8.312443e+00   -3.709528e+00    1.415953e+00
    2.192127e-02    8.606642e+00   -3.397695e+00    1.415953e+00
    2.299459e-02    8.862650e+00   -3.053817e+00    1.415953e+00
    2.184668e-02    8.486380e+00   -3.731829e+00    1.008754e+00
    2.242075e-02    8.772110e+00   -3.412096e+00    1.008754e+00
    2.325732e-02    9.020245e+00   -3.062382e+00    1.008754e+00
    2.424096e-02    9.227665e+00   -2.687085e+00    1.008754e+00
    4.080309e-02    7.232077e+00    2.609998e+00    5.891074e-01
    2.230475e-02    8.625667e+00   -3.721143e+00    5.891074e-01
    2.280005e-02    8.900179e+00   -3.397962e+00    5.891074e-01
    2.348054e-02    9.138141e+00   -3.046996e+00    5.891074e-01
    2.422941e-02    9.336761e+00   -2.672358e+00    5.891074e-01
    2.497977e-02    9.493711e+00   -2.278443e+00    5.891074e-01
    2.605826e-02    9.745167e+00   -1.028011e+00    1.619339e-01
    3.314953e-02    8.006324e+00    2.251793e+00    1.619339e-01
    3.669022e-02    7.638680e+00    2.472998e+00    1.619339e-01
    4.171753e-02    7.249273e+00    2.653157e+00    1.619339e-01
    2.248190e-02    8.659395e+00   -3.753092e+00    1.619339e-01
    2.293398e-02    8.937164e+00   -3.426077e+00    1.619339e-01
    2.354276e-02    9.177948e+00   -3.070947e+00    1.619339e-01
    2.418126e-02    9.378925e+00   -2.691866e+00    1.619339e-01
    2.477555e-02    9.537737e+00   -2.293277e+00    1.619339e-01
    2.529077e-02    9.652523e+00   -1.879854e+00    1.619339e-01
    2.571702e-02    9.721938e+00   -1.456444e+00    1.619339e-01
    2.580578e-02    9.745167e+00   -1.028011e+00   -2.677585e-01
    2.595738e-02    9.721938e+00   -5.995781e-01   -2.677585e-01
    2.605748e-02    9.652523e+00   -1.761681e-01   -2.677585e-01
    2.615856e-02    9.537737e+00    2.372548e-01   -2.677585e-01
    2.633716e-02    9.378925e+00    6.358436e-01   -2.677585e-01
    2.669784e-02    9.177948e+00    1.014925e+00   -2.677585e-01
    2.737271e-02    8.937164e+00    1.370055e+00   -2.677585e-01
    2.851705e-02    8.659395e+00    1.697070e+00   -2.677585e-01
    3.030562e-02    8.347898e+00    1.992136e+00   -2.677585e-01
    3.293973e-02    8.006324e+00    2.251793e+00   -2.677585e-01
    3.668552e-02    7.638680e+00    2.472998e+00   -2.677585e-01
    2.246164e-02    8.659395e+00   -3.753092e+00   -2.677585e-01
    2.295304e-02    8.937164e+00   -3.426077e+00   -2.677585e-01
    2.357591e-02    9.177948e+00   -3.070947e+00   -2.677585e-01
    2.420543e-02    9.378925e+00   -2.691866e+00   -2.677585e-01
    2.476712e-02    9.537737e+00   -2.293277e+00   -2.677585e-01
    2.522473e-02    9.652523e+00   -1.879854e+00   -2.677585e-01
    2.556843e-02    9.721938e+00   -1.456444e+00   -2.677585e-01
    3.040291e-02    8.317822e+00    1.956728e+00   -6.949320e-01
    3.290646e-02    7.980253e+00    2.213341e+00   -6.949320e-01
    3.646354e-02    7.616918e+00    2.431952e+00   -6.949320e-01
    4.145038e-02    7.232077e+00    2.609998e+00   -6.949320e-01
    2.193492e-02    8.317822e+00   -4.012750e+00   -6.949320e-01
    2.227134e-02    8.625667e+00   -3.721143e+00   -6.949320e-01
    2.288066e-02    8.900179e+00   -3.397962e+00   -6.949320e-01
    2.360234e-02    9.138141e+00   -3.046996e+00   -6.949320e-01
    2.432391e-02    9.336761e+00   -2.672358e+00   -6.949320e-01
    2.497512e-02    9.493711e+00   -2.278443e+00   -6.949320e-01
    2.551800e-02    9.607152e+00   -1.869867e+00   -6.949320e-01
    2.593711e-02    9.675752e+00   -1.451421e+00   -6.949320e-01
    3.744724e-02    7.441636e+00    2.417092e+00   -1.114578e+00
    2.131741e-02    8.166647e+00   -4.017559e+00   -1.114578e+00
    2.181769e-02    8.486380e+00   -3.731829e+00   -1.114578e+00
    2.260654e-02    8.772110e+00   -3.412096e+00   -1.114578e+00
    2.353462e-02    9.020245e+00   -3.062382e+00   -1.114578e+00
    2.449099e-02    9.227665e+00   -2.687085e+00   -1.114578e+00
    2.048830e-02    7.984032e+00   -3.985098e+00   -1.521778e+00
